tenure,MonthlyCharges,TotalCharges,CLV,services_count,monthly_to_total_ratio,internet_no_tech_support,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure_bucket,ChurnFlag
19,20.2,382.2,121.19999999999999,1,0.9958311620635747,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,12-24m,0
42,94.45,3923.8,1133.4,6,0.9891350928936954,1,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),24m+,0
24,54.6,1242.25,655.2,4,0.9479929792429792,0,Male,0,No,No,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),12-24m,0
68,96.55,6581.9,1158.6,6,1.002513175130228,1,Female,1,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),24m+,1
18,19.65,411.25,235.79999999999998,1,1.1627085100367542,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,12-24m,0
24,84.8,1990.5,1017.5999999999999,8,0.9780365566037736,0,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,12-24m,0
61,115.1,6993.65,1381.1999999999998,9,0.9960903562119896,0,Female,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,24m+,0
64,86.55,5632.55,2077.2,8,1.0168526140958984,0,Male,0,No,No,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),24m+,0
65,20.4,1414.45,489.59999999999997,1,1.0667043740573152,0,Male,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24m+,0
41,20.0,810.3,480.0,1,0.9881707317073171,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24m+,0
1,20.25,20.25,121.5,1,1.0,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-6m,0
9,44.2,403.35,265.20000000000005,2,1.0139517345399698,1,Female,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),6-12m,1
3,29.7,91.7,178.2,2,1.0291806958473626,1,Female,0,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),0-6m,1
12,96.0,1062.1,576.0,5,0.9219618055555555,1,Female,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,6-12m,1
71,20.9,1493.2,501.59999999999997,1,1.0062672686838736,0,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24m+,0
10,36.25,374.0,217.5,3,1.0317241379310345,0,Female,0,No,No,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,6-12m,0
1,84.8,84.8,508.79999999999995,4,1.0,0,Male,0,Yes,No,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0-6m,1
67,111.25,7511.65,1335.0,8,1.0077679020627202,0,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,24m+,0
50,100.2,5038.45,2404.8,6,1.0056786427145707,0,Female,0,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,24m+,0
26,60.7,1597.4,728.4000000000001,4,1.012165758459004,1,Female,1,Yes,No,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,24m+,0
1,76.4,76.4,458.40000000000003,3,1.0,1,Female,1,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0-6m,1
9,69.05,653.95,414.29999999999995,6,1.0522970472282567,1,Male,0,Yes,No,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),6-12m,0
68,25.8,1911.5,619.2,2,1.089546283629731,0,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24m+,0
17,104.2,1743.5,625.2,7,0.9842497459636446,1,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,12-24m,1
6,82.85,460.25,497.09999999999997,4,0.9258700462683566,1,Male,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0-6m,1
70,90.15,6237.05,2163.6000000000004,9,0.9883606687267253,0,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24m+,0
43,63.95,2737.05,383.70000000000005,5,0.9953452006473081,1,Female,0,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,24m+,0
6,83.55,477.55,501.29999999999995,4,0.9526231797326951,1,Male,0,Yes,Yes,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0-6m,1
71,20.1,1389.6,482.40000000000003,1,0.9737229346226611,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24m+,0
61,106.6,6428.4,2558.3999999999996,7,0.9885891797127303,0,Female,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,24m+,1
15,58.95,955.15,353.70000000000005,5,1.0801809443030816,0,Female,0,No,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,12-24m,0
54,24.75,1342.15,297.0,2,1.0042274597830154,0,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24m+,0
66,19.95,1269.1,478.79999999999995,1,0.9638490164805953,0,Male,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24m+,0
21,55.95,1157.05,671.4000000000001,5,0.9847653091620919,1,Female,0,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,12-24m,1
2,19.3,44.4,115.80000000000001,1,1.1502590673575128,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-6m,0
60,97.2,5611.75,2332.8,6,0.9622342249657064,0,Female,0,Yes,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,24m+,0
37,40.2,1478.85,241.20000000000002,3,0.994251714400968,1,Female,0,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),24m+,0
3,99.0,287.4,594.0,6,0.9676767676767676,1,Female,0,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0-6m,1
72,91.35,6697.2,2192.3999999999996,9,1.0182448458310527,0,Female,0,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0
22,55.15,1206.05,330.9,4,0.9940245611143164,0,Female,0,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,12-24m,1
14,59.45,780.85,356.70000000000005,5,0.9381833473507148,0,Female,0,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),12-24m,0
65,59.95,3921.1,1438.8000000000002,6,1.0062487970744851,0,Female,0,No,No,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),24m+,0
49,71.8,3472.05,861.5999999999999,7,0.9868824967312831,1,Female,0,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,24m+,0
62,105.5,6487.2,633.0,7,0.9917749579574988,1,Male,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,0
45,50.9,2333.85,305.4,4,1.0189259986902424,1,Female,0,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24m+,0
22,19.25,412.55,231.0,1,0.9741440377804015,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,12-24m,0
57,57.5,3265.95,1380.0,6,0.9964759725400457,0,Male,0,Yes,No,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0
2,88.55,179.25,531.3,5,1.0121400338791644,1,Female,1,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0-6m,1
60,95.75,5742.9,574.5,6,0.9996344647519582,1,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,24m+,1
67,94.35,6341.45,1132.1999999999998,6,1.0031638310830584,0,Female,0,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),24m+,1
59,106.15,6256.2,1273.8000000000002,7,0.9989381830955555,1,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,24m+,0
72,102.65,7550.3,2463.6000000000004,7,1.0215808843426963,1,Male,1,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),24m+,0
32,104.9,3351.55,629.4000000000001,7,0.9984360104861774,0,Male,1,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,1
70,113.65,7714.65,2727.6000000000004,9,0.9697253472440449,0,Female,1,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,24m+,0
28,35.75,961.4,214.5,3,0.9604395604395605,0,Female,0,No,No,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,24m+,0
47,19.65,921.55,471.59999999999997,1,0.997834443181203,0,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24m+,0
1,20.5,20.5,123.0,1,1.0,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0-6m,1
26,19.2,459.6,230.39999999999998,1,0.920673076923077,0,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24m+,0
4,78.85,292.8,473.09999999999997,3,0.9283449587824986,1,Female,1,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0-6m,1
10,80.25,846.0,481.5,3,1.0542056074766355,1,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),6-12m,1
1,70.2,70.2,421.20000000000005,2,1.0,1,Female,1,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0-6m,0
61,84.9,5264.5,1018.8000000000001,8,1.0165286064608314,0,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),24m+,0
70,51.05,3635.15,612.5999999999999,5,1.0172519938435707,0,Male,0,Yes,No,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),24m+,0
7,20.05,96.8,240.60000000000002,1,0.6897043106519416,0,Female,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,6-12m,0
25,70.95,1767.35,425.70000000000005,2,0.9963918252290345,1,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,24m+,1
7,62.8,418.3,376.79999999999995,5,0.9515468607825297,0,Female,0,No,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),6-12m,0
13,19.45,232.1,116.69999999999999,1,0.9179355349021159,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),12-24m,0
14,89.95,1178.4,539.7,5,0.9357579607718575,0,Male,0,No,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,12-24m,1
53,19.75,1052.35,474.0,1,1.0053498925244804,0,Male,0,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24m+,1
38,80.3,3058.65,963.5999999999999,7,1.0023759585763912,0,Female,0,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),24m+,1
66,104.05,6890.0,1248.6,7,1.0033055203646266,0,Male,0,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,24m+,1
47,19.65,973.1,471.59999999999997,1,1.0536516701856966,0,Male,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24m+,0
60,94.1,5475.9,564.5999999999999,6,0.9698724760892666,1,Female,0,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),24m+,0
2,18.75,53.15,112.5,1,1.4173333333333333,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0-6m,0
35,25.75,882.55,154.5,2,0.979251040221914,0,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24m+,0
48,97.05,4692.95,1164.6,6,1.0074167095998627,1,Female,0,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,24m+,0
63,19.15,1177.05,459.59999999999997,1,0.9756309834638818,0,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24m+,0
72,55.45,4179.2,1330.8000000000002,6,1.046788898907925,0,Male,0,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),24m+,0
34,20.8,635.9,124.80000000000001,1,0.8991798642533936,0,Male,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24m+,0
71,91.25,6589.6,2190.0,9,1.0171097819795485,0,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,24m+,0
2,80.6,155.8,483.59999999999997,4,0.9665012406947893,1,Female,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,0-6m,1
31,73.55,2094.65,441.29999999999995,3,0.9186859937282079,1,Female,1,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24m+,0
72,25.1,1857.85,602.4000000000001,2,1.0280267817618414,0,Female,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24m+,0
17,70.8,1207.0,424.79999999999995,2,1.0028248587570623,1,Male,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,12-24m,0
32,109.55,3608.0,1314.6,8,1.0292104062072114,0,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),24m+,0
46,74.8,3548.3,448.79999999999995,3,1.0312427342478494,1,Female,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),24m+,0
31,84.75,2613.4,508.5,5,0.9947283280997241,1,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),24m+,0
2,45.85,81.0,275.1,2,0.8833151581243184,1,Male,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0-6m,1
64,86.4,5442.05,2073.6000000000004,9,0.9841670283564814,0,Female,0,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24m+,0
17,70.4,1214.05,422.40000000000003,2,1.0144134358288768,1,Male,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),12-24m,1
71,106.7,7382.25,2560.8,7,0.9744644059294851,1,Male,0,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),24m+,0
29,71.0,2080.1,852.0,5,1.010247693054881,1,Female,0,No,No,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),24m+,0
3,19.75,58.85,118.5,1,0.9932489451476794,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0-6m,1
3,84.3,235.05,505.79999999999995,4,0.9294187425860025,1,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,0-6m,0
18,60.6,1156.35,363.6,5,1.0600935093509352,1,Female,0,No,No,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,12-24m,0
72,90.6,6441.85,2174.3999999999996,9,0.9875291268089282,0,Male,0,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24m+,0
30,19.05,637.55,457.20000000000005,1,1.1155730533683288,0,Male,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24m+,0
18,85.6,1601.5,513.5999999999999,4,1.0393951194184838,0,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,12-24m,0
26,49.5,1265.65,297.0,3,0.9834110334110335,1,Female,0,No,Yes,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24m+,0
26,89.15,2277.65,534.9000000000001,5,0.9826351438802364,1,Female,1,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,24m+,1
1,74.35,74.35,446.09999999999997,3,1.0,1,Female,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0-6m,0
8,25.25,186.3,151.5,1,0.9222772277227723,1,Male,0,No,No,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),6-12m,0
53,25.1,1275.6,602.4000000000001,2,0.9588814553108319,0,Female,1,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24m+,0
72,64.95,4546.0,1558.8000000000002,7,0.9721153023693438,0,Male,1,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24m+,0
10,98.7,973.25,592.2,6,0.9860688956433638,1,Female,0,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,6-12m,1
1,85.45,85.45,512.7,4,1.0,1,Female,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0-6m,1
9,90.8,809.75,544.8,4,0.9908835046500245,1,Female,0,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),6-12m,1
31,78.45,2435.15,470.70000000000005,4,1.0013158165258331,0,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,24m+,1
50,84.4,4116.15,506.40000000000003,4,0.9753909952606634,1,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),24m+,1
13,19.75,246.7,474.0,1,0.960856864654333,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),12-24m,0
35,19.7,730.4,472.79999999999995,1,1.0593183466279912,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24m+,0
10,79.95,857.2,479.70000000000005,3,1.072170106316448,1,Male,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,6-12m,1
8,49.85,365.55,299.1,3,0.9166248746238717,1,Female,0,No,No,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,6-12m,1
18,85.2,1553.9,511.20000000000005,4,1.0132368283776734,1,Female,0,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,12-24m,1
53,105.55,5682.25,2533.2,7,1.015748594513912,1,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,24m+,0
1,19.75,19.75,118.5,1,1.0,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0-6m,0
34,19.7,675.6,118.19999999999999,1,1.0086593012839655,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24m+,0
67,69.2,4671.65,1660.8000000000002,6,1.007602881546027,0,Male,0,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),24m+,0
37,100.05,3810.55,600.3,6,1.0293636965301134,1,Female,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,0
72,109.75,7932.5,2634.0,8,1.0038597823335864,0,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),24m+,0
41,83.75,3273.55,502.5,5,0.9533454677830361,1,Male,1,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),24m+,1
6,19.7,129.55,118.19999999999999,1,1.0960236886632828,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),0-6m,0
53,19.55,1007.9,234.60000000000002,1,0.9727356077787964,0,Female,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24m+,0
2,20.05,39.25,120.30000000000001,1,0.9788029925187032,0,Female,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0-6m,0
1,29.7,29.7,178.2,2,1.0,1,Male,0,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0-6m,1
1,89.15,89.15,534.9000000000001,4,1.0,1,Male,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,0-6m,1
28,103.3,2890.65,619.8,7,0.9993949661181026,0,Female,1,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,24m+,1
59,19.35,1099.6,464.40000000000003,1,0.9631673455086934,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24m+,1
1,45.15,45.15,270.9,2,1.0,1,Female,0,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0-6m,0
6,25.1,171.0,301.20000000000005,2,1.1354581673306772,0,Male,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0-6m,0
69,110.55,7610.1,1326.6,8,0.9976599217351976,0,Male,1,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,24m+,0
18,20.1,370.5,482.40000000000003,1,1.0240464344941957,0,Female,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,12-24m,0
11,54.6,617.85,655.2,4,1.0287212787212787,0,Female,0,No,No,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,6-12m,0
11,74.55,824.75,447.29999999999995,3,1.005731357844034,1,Male,0,No,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,6-12m,1
22,87.0,1850.65,522.0,4,0.966901776384535,1,Male,0,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),12-24m,0
52,105.0,5426.85,1260.0,7,0.9939285714285715,0,Male,0,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),24m+,1
4,51.75,201.1,310.5,3,0.9714975845410627,1,Male,0,No,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),0-6m,1
9,75.6,661.55,453.59999999999997,3,0.9722957084068194,1,Male,0,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,6-12m,0
29,99.05,2952.85,594.3,6,1.027990043342791,1,Female,1,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24m+,1
4,19.7,117.8,236.39999999999998,1,1.4949238578680204,0,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0-6m,0
46,100.7,4541.2,604.2,7,0.9803549069556582,1,Male,1,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,24m+,1
18,58.4,964.9,350.4,5,0.9179033485540334,1,Male,1,No,No,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),12-24m,0
54,59.8,3246.45,1435.1999999999998,5,1.0053418803418803,1,Female,0,Yes,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),24m+,0
72,85.1,6155.4,2042.3999999999999,8,1.004602428515472,0,Female,0,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,24m+,0
